id,restaurant,food type,price range,rating,clients per month,location,recommended
150,BBQ Bliss,Japanese,$20-$30,2.8,945,"San Diego, CA",No
151,Pizza Paradise,American,$10-$20,3.0,8336,"San Jose, CA",No
152,Curry Corner,Mexican,$30-$40,2.7,5203,"Houston, TX",Yes
153,Pizza Paradise,Japanese,$20-$30,2.5,5045,"Phoenix, AZ",Yes
154,Taco Town,American,$40-$50,2.5,3684,"Houston, TX",No
155,Curry Corner,Italian,$20-$30,3.9,6268,"Houston, TX",No
156,Seafood Shack,BBQ,$20-$30,1.5,9228,"Philadelphia, PA",No
157,Curry Corner,Italian,$40-$50,1.4,5287,"New York, NY",Yes
158,Pasta Palace,Italian,$10-$20,3.6,3596,"Phoenix, AZ",No
159,The Gourmet Kitchen,BBQ,$40-$50,2.9,6030,"San Diego, CA",Yes
160,Seafood Shack,Seafood,$20-$30,3.3,6339,"Los Angeles, CA",No
161,Sushi Central,Seafood,$20-$30,4.9,1133,"Phoenix, AZ",Yes
162,Sushi Central,Seafood,$40-$50,4.7,7072,"Houston, TX",Yes
163,Pasta Palace,Indian,$40-$50,4.7,3360,"Chicago, IL",No
164,Pizza Paradise,Indian,$40-$50,2.0,8634,"Chicago, IL",No
165,Sushi Central,BBQ,$10-$20,4.3,4601,"Houston, TX",No
166,Curry Corner,Indian,$40-$50,2.1,8676,"Phoenix, AZ",Yes
167,Vegan Valley,Vegan,$10-$20,3.1,4752,"Dallas, TX",No
168,Vegan Valley,Vegan,$10-$20,3.3,4737,"Philadelphia, PA",No
169,Pizza Paradise,Seafood,$30-$40,3.9,9114,"San Jose, CA",No
170,Pasta Palace,Vegan,$10-$20,4.9,1921,"Phoenix, AZ",Yes
171,Taco Town,Japanese,$20-$30,4.3,3837,"Houston, TX",No
172,Taco Town,Seafood,$10-$20,1.9,5871,"Philadelphia, PA",No
173,Sushi Central,Italian,$10-$20,3.1,1999,"San Diego, CA",No
174,Burger Barn,Indian,$40-$50,4.8,1817,"Philadelphia, PA",Yes
175,Pasta Palace,Indian,$40-$50,3.2,9605,"San Diego, CA",Yes
176,Burger Barn,American,$40-$50,4.0,820,"San Jose, CA",No
177,Vegan Valley,Vegan,$10-$20,1.8,341,"Philadelphia, PA",No
178,Pizza Paradise,BBQ,$40-$50,3.9,8856,"Philadelphia, PA",No
179,Sushi Central,Japanese,$10-$20,3.9,6755,"Dallas, TX",No
180,Vegan Valley,BBQ,$10-$20,1.0,7436,"Chicago, IL",No
181,Curry Corner,Italian,$10-$20,1.9,1126,"New York, NY",Yes
182,Seafood Shack,Japanese,$30-$40,4.7,4691,"San Diego, CA",No
183,Taco Town,American,$20-$30,1.2,3596,"Houston, TX",Yes
184,Seafood Shack,Mexican,$10-$20,4.4,7566,"Los Angeles, CA",Yes
185,Pizza Paradise,BBQ,$10-$20,2.5,7895,"San Jose, CA",No
186,Seafood Shack,Japanese,$30-$40,1.7,4733,"San Jose, CA",No
187,Seafood Shack,Vegan,$30-$40,1.8,5427,"San Jose, CA",Yes
188,Curry Corner,American,$20-$30,4.0,6170,"San Jose, CA",No
189,Burger Barn,Seafood,$30-$40,3.2,5202,"Chicago, IL",No
190,Seafood Shack,BBQ,$20-$30,4.2,8416,"Houston, TX",Yes
191,Pasta Palace,Seafood,$20-$30,4.4,927,"Philadelphia, PA",No
192,The Gourmet Kitchen,Italian,$40-$50,1.1,9484,"Dallas, TX",Yes
193,Seafood Shack,Mexican,$40-$50,2.2,6176,"New York, NY",Yes
194,Seafood Shack,Vegan,$40-$50,1.8,2063,"Houston, TX",Yes
195,Pasta Palace,Seafood,$10-$20,2.9,8224,"Phoenix, AZ",Yes
196,Pizza Paradise,Mexican,$40-$50,4.6,9552,"Dallas, TX",No
197,Pasta Palace,Italian,$30-$40,1.7,8199,"Philadelphia, PA",Yes
198,BBQ Bliss,Japanese,$20-$30,4.0,979,"Chicago, IL",Yes
199,Vegan Valley,Mexican,$40-$50,3.3,5029,"San Antonio, TX",No
200,BBQ Bliss,Vegan,$20-$30,4.5,2704,"Chicago, IL",No
