ID,Name,Food Type,Details,Smoking Area,Price Range,City,State,Image,Waiter Count,People,Total,Tip,Payment Method,Classification
18,Pizza Pros,American,Classic and creative pizzas crafted by pizza-making professionals.,No,$$,San Antonio,NY,pexels-photo-29174060.jpeg,10,5.56094189644138,109.26234054625853,13.578913497915272,Credit Card,Bad
19,Taste of India,Bistro,A journey through India with authentic and aromatic dishes.,Yes,$,San Francisco,NY,pexels-photo-11160565.jpeg,8,5.481718727878811,108.58009659317605,13.98302573672943,Mobile Payment,Good
20,Dragon Palace,French,"Chinese cuisine in a regal setting, specializing in dim sum and seafood.",No,$$,San Antonio,TX,pexels-photo-29155241.jpeg,9,5.6516032417195206,111.18786205073997,13.762281536293164,Mobile Payment,Bad
21,Green Fork,Seafood,"Health-focused dishes emphasizing fresh, green, and organic ingredients.",Yes,$$$,Houston,AZ,pexels-photo-7123560.jpeg,10,5.443506574331817,111.1917712053319,13.60804070201643,Mobile Payment,Bad
22,The Fish House,Seafood,Fresh and sustainably sourced seafood in a nautical atmosphere.,Yes,$$,San Francisco,IL,pexels-photo-14529600.jpeg,7,5.452235595092738,114.68603450782022,14.118855965463107,Mobile Payment,Good
23,Noodle Nirvana,Bistro,A noodle lover's paradise with flavors from Asia and beyond.,Yes,$,San Antonio,AZ,pexels-photo-29160633.jpeg,7,5.683325295394261,111.34964257964259,13.580545575114542,Cash,Bad
24,Mediterranean Delight,Thai,Mediterranean classics with fresh ingredients and bold flavors.,No,$$$$,San Antonio,NY,pexels-photo-6252738.jpeg,10,5.164440370176358,112.42610878295791,14.439846778418021,Debit Card,Good
25,The Curry Lounge,American,A cozy spot for enjoying a wide variety of rich and fragrant curries.,No,$$$,San Antonio,TX,pexels-photo-29160661.jpeg,6,5.48351012536162,111.69358919961428,13.739362905818064,Cash,Bad
26,Street Bites,Mediterranean,"Street food from around the world in a casual, vibrant setting.",No,$$,San Francisco,CA,pexels-photo-5920752.jpeg,9,5.577651138428081,112.7980206800069,14.643196085451725,Cash,Good
27,Viva Italia,Seafood,"Celebrating Italian flavors with pasta, pizza, and vino in a lively atmosphere.",Yes,$$$$,Chicago,AZ,pexels-photo-29159960.jpeg,4,5.77281746031746,107.43091765873017,13.467028769841269,Mobile Payment,Bad
28,East Meets West,Steakhouse,A fusion of Asian and Western flavors for a unique culinary experience.,No,$$,Chicago,CA,pexels-photo-29175745.jpeg,7,5.15230647488712,106.75991473878571,13.894904032645968,Debit Card,Good
29,Ramen Haven,Mediterranean,Savory ramen bowls crafted to comfort and delight.,No,$$,Los Angeles,CA,pexels-photo-29160628.jpeg,5,5.184767013910548,108.99918408084336,12.757253689033055,Credit Card,Bad
30,The Dumpling House,Italian,Handmade dumplings and other Asian specialties.,Yes,$,Chicago,TX,pexels-photo-7363748.jpeg,4,5.67232868757259,110.87922735191637,13.53390369725126,Cash,Bad
31,Greek Table,Vegan,Traditional Greek fare with a focus on fresh ingredients and bold flavors.,No,$,Los Angeles,CA,pexels-photo-5086612.jpeg,8,5.788993203730047,104.9132552236447,13.410235941204363,Cash,Bad
32,Soul Food Central,Bakery,"Southern soul food classics in a cozy, down-home atmosphere.",No,$$,New York,CA,pexels-photo-2365529.jpeg,3,5.548140448140448,115.05402356202357,13.622718641718642,Cash,Bad
33,Pho & Beyond,Thai,Vietnamese specialties with a focus on pho and other noodle dishes.,Yes,$$,Dallas,AZ,pexels-photo-1612727.jpeg,7,5.437697742516877,110.3876392543716,14.085855818703115,Cash,Good
34,The Wine Cellar,Chinese,A curated wine selection with small plates for pairing.,Yes,$$$$,San Antonio,TX,pexels-photo-29096344.jpeg,3,5.317241379310345,118.59792528735632,14.152701149425289,Debit Card,Good
35,Spice Bazaar,Vegan,Global spices and flavors come together in this exotic dining spot.,No,$,Chicago,IL,pexels-photo-29152162.jpeg,9,5.468794577888853,109.13138242236312,14.497188030627933,Credit Card,Good
36,Tapas Twist,Fusion,"Spanish tapas with modern twists, perfect for sharing and sampling.",Yes,$$$$,Houston,NY,pexels-photo-29157382.jpeg,7,5.2209584396518585,111.47311003530358,13.469706968669533,Cash,Bad
37,The Italian Affair,Chinese,Classic Italian dishes with a touch of romance.,No,$$$,Chicago,TX,pexels-photo-29176028.jpeg,4,5.679180778694456,111.28518541033435,14.023148473006223,Debit Card,Good
38,Wok & Roll,Chinese,"Asian-inspired stir-fries and rolls with bold, fresh ingredients.",No,$,San Francisco,TX,pexels-photo-29175271.jpeg,9,5.532987955152904,110.58638344788086,13.249422480821964,Mobile Payment,Bad
39,City Brunch,Fusion,A go-to for trendy brunch items in a chic city setting.,No,$$,Los Angeles,NY,pexels-photo-29117243.jpeg,6,5.5419374624800986,110.61092318534179,13.961676845979172,Mobile Payment,Good
40,Taste of Thailand,Mexican,"Authentic Thai dishes with fresh, aromatic ingredients.",Yes,$$$,Los Angeles,TX,pexels-photo-16904985.jpeg,3,5.690336134453781,124.20479019607843,15.306016246498599,Cash,Good
41,Latin Flavors,Japanese,Latin American favorites from tacos to arepas with vibrant seasonings.,No,$$,Chicago,IL,pexels-photo-5864741.jpeg,9,5.282131410256411,108.48011137820511,13.543395833333333,Debit Card,Bad
42,French Quarter,French,"French bistro-inspired cuisine in a charming, Parisian setting.",No,$,New York,AZ,pexels-photo-13449279.jpeg,3,5.108021570610044,114.22583417593529,14.69272834512976,Cash,Good
43,City Grill,Italian,"Urban grill classics from steak to seafood, in a contemporary setting.",No,$$$,Austin,NY,pexels-photo-2919579.jpeg,3,5.48550925925926,110.63455185185184,14.290860185185187,Cash,Good
44,Taco Town,Bistro,Tacos of all styles and flavors served with a side of fiesta.,Yes,$$,San Francisco,AZ,pexels-photo-20897747.jpeg,6,5.2014726640807565,105.15508336002279,13.139903651115619,Cash,Bad
45,Shawarma Shack,Steakhouse,Authentic shawarma wraps and platters with Mediterranean sides.,Yes,$$$,San Antonio,TX,pexels-photo-29130860.jpeg,7,5.412286165807292,104.96673962695088,13.278447647391308,Credit Card,Good
46,Blue Lagoon,Indian,"Tropical seafood dishes in a laid-back, beachy setting.",No,$$$$,San Antonio,TX,pexels-photo-346972.jpeg,4,5.6486969314838165,110.93276157318566,13.402014410512272,Debit Card,Bad
47,Sizzle & Stir,Bakery,"Hot and sizzling dishes from the wok and grill, inspired by Asian flavors.",No,$,Houston,TX,pexels-photo-6937425.jpeg,10,5.367252187121832,107.41637429439861,13.138707736659043,Credit Card,Bad
48,Himalayan Feast,Steakhouse,Nepalese and Tibetan delicacies with spices from the Himalayas.,No,$,Los Angeles,TX,pexels-photo-29133875.jpeg,7,5.285961048495055,112.83331204387441,13.50994123344376,Debit Card,Good
49,Caribbean Cove,Vegan,"A taste of the islands with jerk, curry, and fresh seafood.",Yes,$,Dallas,NY,pexels-photo-1450354.jpeg,10,5.472486772486772,108.28992886537331,13.33596178718401,Mobile Payment,Bad
50,Bistro Bella,Fusion,Cozy bistro fare with European-inspired dishes.,Yes,$,Chicago,NY,pexels-photo-1233535.jpeg,8,5.336331212647003,113.06060564873724,14.502718816271447,Debit Card,Good
51,Korean Grill House,Fusion,Korean BBQ experience with premium meats and classic sides.,Yes,$,Los Angeles,CA,pexels-photo-2132943.png,7,5.294381165282805,111.67642424439555,14.157709116930429,Credit Card,Good
52,Harvest Table,Mediterranean,"Farm-to-table dishes celebrating fresh, seasonal ingredients.",No,$$,New York,AZ,pexels-photo-29159393.jpeg,3,5.068428184281843,113.70397841656988,14.413848722415798,Cash,Good
53,Szechuan Garden,Vegan,Bold Szechuan flavors in an authentic Chinese setting.,Yes,$$,Phoenix,AZ,pexels-photo-29173987.jpeg,9,5.106965303709065,109.36943994359545,13.250290562930552,Cash,Bad
54,Prime Time Burgers,Vegan,"Gourmet burgers for burger enthusiasts, grilled to perfection.",No,$$$$,San Antonio,TX,pexels-photo-6260622.jpeg,10,5.654027042915931,109.23045581706502,13.873691287072512,Credit Card,Good
55,Southern Comfort,American,Southern favorites like fried chicken and mac 'n cheese.,No,$$$$,Chicago,NY,pexels-photo-7525697.jpeg,10,5.484209444077256,104.96143705662041,13.339537431152237,Credit Card,Bad
56,Seafood Sensations,Chinese,A seafood lover's paradise with freshly caught flavors.,Yes,$$,Houston,IL,pexels-photo-4725628.jpeg,8,5.777784939998496,105.44637301561723,13.096649728014668,Credit Card,Bad
57,Sunshine Cafe,Chinese,"Bright, cheerful cafe offering breakfast, brunch, and fresh juices.",No,$$$$,Austin,IL,pexels-photo-29162224.jpeg,4,5.817948717948718,109.87195299145299,13.790147435897437,Mobile Payment,Bad
58,Salsa Fresca,Mediterranean,"Fresh, vibrant Mexican dishes with a focus on salsa and flavors.",No,$$$$,Dallas,AZ,pexels-photo-13778389.jpeg,8,5.489673257217117,106.89981572899701,14.001664789077068,Credit Card,Good
59,Barbecue Bistro,Mexican,"Fusion of BBQ flavors in a refined, bistro-style atmosphere.",No,$$,Phoenix,CA,pexels-photo-29095927.jpeg,6,5.448845433742458,110.08137766847949,14.304583573558402,Debit Card,Good
60,Mamma Mia,Mexican,"Traditional Italian fare, from pasta to tiramisu, in a cozy setting.",Yes,$$,Los Angeles,AZ,pexels-photo-5701081.jpeg,10,5.466343340174913,109.83845409134746,13.239214398023359,Mobile Payment,Good
61,The Pancake Parlor,Chinese,Sweet and savory pancake creations served all day.,No,$$$,Los Angeles,CA,pexels-photo-29093042.jpeg,8,5.4407850792334616,112.22848748157361,14.187426092915054,Cash,Bad
62,Fusion Bites,Indian,Innovative fusion cuisine blending flavors from different cultures.,No,$,Houston,NY,pexels-photo-14855137.jpeg,7,5.493180076628352,110.31584712643678,14.176545593869733,Mobile Payment,Good
63,Yamato Sushi,Fusion,Elegant sushi dining with authentic Japanese flair.,No,$$$$,Los Angeles,AZ,pexels-photo-28992240.jpeg,9,5.4132051943584445,111.36923084365326,14.26064026487788,Debit Card,Good
64,Sweet Tooth Bakery,Vegan,Decadent sweets and pastries for every craving.,No,$$$$,San Francisco,CA,pexels-photo-5582253.jpeg,5,5.514997804128239,112.98872540623627,14.070447628458497,Credit Card,Good
65,El Rancho,BBQ,"Traditional Mexican dishes in a warm, ranch-style atmosphere.",No,$,New York,IL,pexels-photo-7782440.jpeg,10,5.69101617440225,112.63379172526957,13.996485232067508,Debit Card,Good
66,Flame & Barrel,Mediterranean,"Smoky and flavorful dishes, from grilled meats to hearty sides.",Yes,$,New York,IL,pexels-photo-10388280.jpeg,4,5.533066361556064,109.76176182303585,13.810109839816933,Cash,Good
67,Cornerstone Cafe,Thai,"A neighborhood cafe serving fresh coffee, pastries, and light bites.",Yes,$$$$,Phoenix,IL,pexels-photo-29115797.jpeg,9,5.50256739550404,110.78211265147525,13.709644285651564,Cash,Bad
68,Little India,American,A vibrant journey into India's rich culinary traditions.,Yes,$$$,San Francisco,AZ,pexels-photo-1806064.jpeg,8,5.594108176408249,111.05667166992744,13.660293959403276,Debit Card,Bad
69,Rustic Roots,Japanese,"Comfort food with a rustic, farm-to-table approach.",No,$,Chicago,AZ,pexels-photo-29107033.jpeg,6,5.684234654780668,114.1133685027724,14.374028947582701,Credit Card,Good
70,The Shrimp Shack,Vegan,Shrimp and seafood dishes served up with coastal flair.,Yes,$$,Chicago,IL,pexels-photo-29133874.jpeg,4,5.719161785167256,116.24296289475838,14.228745016193718,Cash,Good
71,Grill House,Seafood,Classic grilled fare from burgers to ribs in a casual setting.,No,$$$,Austin,NY,pexels-photo-6225504.jpeg,10,5.727970627503338,106.75992507156319,13.308007796403436,Mobile Payment,Bad
72,Taste of the Coast,BBQ,Coastal cuisine featuring fresh seafood and beachside flavors.,No,$$$$,Phoenix,CA,pexels-photo-8734106.jpeg,6,5.484789440220979,112.85270556311013,14.437068909920024,Debit Card,Good
73,The Green Bowl,Seafood,"Fresh salads, grain bowls, and smoothie bowls for the health-conscious.",No,$,San Diego,NY,pexels-photo-29116513.jpeg,7,5.590228651204261,115.88860703433875,14.61333016576919,Debit Card,Good
74,Tapas y Mas,Bistro,A taste of Spain with a variety of tapas and Spanish small plates.,No,$,Phoenix,AZ,pexels-photo-14098930.jpeg,7,5.611880319760755,110.87859953703703,13.407850780710836,Cash,Good
75,The Coffee Lounge,Greek,Relax with specialty coffee and light bites in a modern lounge.,No,$,Austin,NY,pexels-photo-5490341.jpeg,4,5.470111511835178,108.64992842239081,13.508654983487405,Mobile Payment,Bad
76,Farm & Table,French,"Sustainable, locally-sourced dishes inspired by the farm-to-table concept.",Yes,$$,Houston,CA,pexels-photo-29122893.jpeg,4,5.222956994696125,114.17966960575656,14.27407756494713,Cash,Good
77,Gusto Italiano,Italian,Traditional Italian dining with a menu full of flavor and flair.,No,$,Dallas,AZ,pexels-photo-6692057.jpeg,8,5.538287674444503,110.13559878936542,14.031445317765938,Credit Card,Good
78,Sushi Spot,Italian,"Your go-to place for fresh, hand-rolled sushi.",No,$$$,San Diego,CA,pexels-photo-29162889.jpeg,10,5.708664288927447,111.16246046205258,13.733347230255125,Credit Card,Bad
79,Urban Kitchen,Seafood,Contemporary cuisine with influences from around the globe.,Yes,$,San Antonio,IL,pexels-photo-29159850.jpeg,8,5.227985422493432,111.23407661666242,13.909295808966862,Debit Card,Good
80,The Sandwich Shop,Fusion,Handcrafted sandwiches with fresh ingredients and unique twists.,No,$$$$,Dallas,TX,pexels-photo-13630188.jpeg,5,5.788986354775829,109.6939167995747,13.34041555909977,Debit Card,Bad
81,Vegan Paradise,Cafe,A haven for plant-based dishes bursting with flavor.,Yes,$$,Dallas,AZ,pexels-photo-4631075.jpeg,10,5.740036889777438,107.52232948461636,13.23901457745231,Debit Card,Bad
82,Osteria Italiana,Italian,"An Italian tavern serving homemade pasta, pizza, and wine.",Yes,$$$,San Antonio,NY,pexels-photo-1024005.jpeg,5,5.588709677419355,120.65581690561528,15.368285543608124,Cash,Good
83,Pasta & Co,Mediterranean,A pasta lover's dream with homemade sauces and fresh ingredients.,Yes,$$$,New York,AZ,pexels-photo-3184182.jpeg,7,5.445070913740991,114.318622800899,14.15226969180294,Credit Card,Good
84,Seaside Delights,BBQ,Fresh seafood and coastal dishes in a relaxing setting.,No,$,San Francisco,IL,pexels-photo-29176169.jpeg,8,5.218589743589743,108.8489471153846,13.985160256410255,Credit Card,Bad
85,Farm Fresh Cafe,Bistro,"Healthy, organic options straight from farm to table.",No,$$,Austin,CA,pexels-photo-2562555.jpeg,7,5.395731209150327,113.18229881535949,14.050762867647059,Debit Card,Good
86,Rice & Noodle,Mediterranean,Asian-inspired rice and noodle dishes with authentic flavors.,No,$$,Los Angeles,CA,pexels-photo-4551835.jpeg,6,5.349332367817605,110.06961726078801,13.265205753595998,Debit Card,Bad
87,Fish & Chips,Thai,"A classic British fish and chips spot with crispy, golden goodness.",No,$$$,New York,TX,pexels-photo-29176169.jpeg,9,5.338269786723394,109.6649407352861,14.013792450771833,Mobile Payment,Good
88,Mediterranean Moods,Chinese,Flavors of the Mediterranean with a fresh and modern touch.,Yes,$$$$,Phoenix,IL,pexels-photo-29151102.jpeg,8,5.5434358273036795,101.9461098959369,12.779476559762898,Mobile Payment,Bad
89,Taco Delight,American,A fiesta of taco flavors and toppings in a lively setting.,Yes,$$$,San Antonio,CA,pexels-photo-5840315.jpeg,10,5.621692103800608,111.47232059339062,14.332679492112353,Credit Card,Good
90,Urban Spice,Bistro,A modern take on global spices with fusion-style dishes.,Yes,$,Dallas,TX,pexels-photo-29155269.jpeg,6,5.216179903968988,106.33838105516645,13.356610208067194,Debit Card,Bad
91,The Pie Crust,Thai,"Savory and sweet pies, baked fresh with a touch of tradition.",Yes,$$,San Francisco,CA,pexels-photo-604969.jpeg,3,5.4825396825396835,107.04139365079364,13.643333333333333,Cash,Bad
92,Brunch Bliss,Fusion,Brunch specialties from sweet to savory in a cozy setting.,No,$,San Antonio,IL,pexels-photo-18224446.jpeg,5,5.153964369908389,108.23116956621209,13.54222737807486,Cash,Bad
93,Asian Fusion,Indian,Innovative fusion dishes inspired by flavors across Asia.,Yes,$$$$,Chicago,CA,pexels-photo-2792186.jpeg,7,5.208943130824937,108.32060403659068,13.711252362660813,Mobile Payment,Bad
94,Jazzy Bites,Vegan,"Fun and flavorful small bites, perfect for sharing.",Yes,$$,Dallas,CA,pexels-photo-29151467.jpeg,10,5.381943670632709,112.84829759354868,13.7319929727577,Debit Card,Bad
95,Taste of Morocco,Chinese,Traditional Moroccan dishes with aromatic spices and tagines.,Yes,$,Dallas,CA,pexels-photo-3645478.jpeg,4,5.471620971620972,106.25376382876384,12.340127465127466,Mobile Payment,Bad
96,Pasta Lovers,Mediterranean,A cozy Italian spot with pasta dishes for every taste.,Yes,$$,Chicago,AZ,pexels-photo-12898338.jpeg,8,5.544167313171232,109.14540126383355,13.278099171590048,Cash,Bad
97,Cafe Aroma,Thai,Specialty coffees and teas paired with fresh pastries and sandwiches.,Yes,$,Austin,CA,pexels-photo-29115797.jpeg,6,5.602876219825372,109.62383667180278,13.72631432973806,Credit Card,Bad
98,Taste Buds,French,A playful menu with flavors from around the world.,No,$$$$,Houston,NY,pexels-photo-4109241.jpeg,8,5.747246843943056,112.1309739457427,14.002640343808757,Mobile Payment,Good
99,Fresh Bites,Chinese,"Healthy, quick meals made from fresh ingredients.",Yes,$,Austin,AZ,pexels-photo-29151467.jpeg,7,4.756037544393709,112.35685071029934,13.627434550989344,Debit Card,Bad
100,Cafe Central,Thai,A welcoming cafe with classic coffee drinks and pastries.,Yes,$$$,Houston,AZ,pexels-photo-2133243.jpeg,9,5.549870742947061,111.8260610692743,14.247363043722602,Cash,Good
